Timestamp,accX_shoulder_r,accY_shoulder_r,accZ_shoulder_r,magX_shoulder_r,magY_shoulder_r,magZ_shoulder_r,gyroX_shoulder_r,gyroY_shoulder_r,gyroZ_shoulder_r,accX_shoulder_l,accY_shoulder_l,accZ_shoulder_l,magX_shoulder_l,magY_shoulder_l,magZ_shoulder_l,gyroX_shoulder_l,gyroY_shoulder_l,gyroZ_shoulder_l,accX_back,accY_back,accZ_back,magX_back,magY_back,magZ_back,gyroX_back,gyroY_back,gyroZ_back,accX_neck,accY_neck,accZ_neck,magX_neck,magY_neck,magZ_neck,gyroX_neck,gyroY_neck,gyroZ_neck,Classification
1635194437,1.366210938,0.079101563,1.646972656,7.232666016,-1.411437988,-0.74005127,223.5589744,21.44126984,39.43394383,-0.248046875,-0.250488281,1.92578125,-0.427246094,1.724243164,0.816345215,15.59365079,-135.5448107,17.54285714,-0.536132813,1.686035156,1.013671875,-1.235961914,0.89263916,1.022338867,-83.96581197,90.86300366,13.19462759,-0.419433594,-1.8671875,0.216308594,-0.946044922,1.22833252,2.822875977,-5.847619048,-29.68791209,-9.296214896,2
1635194437,1.366210938,0.079101563,1.646972656,7.232666016,-1.411437988,-0.74005127,223.5589744,21.44126984,39.43394383,-0.259765625,-0.2578125,1.941894531,-0.137329102,0.198364258,0.282287598,16.49328449,-136.4444444,15.59365079,-0.536132813,1.686035156,1.013671875,-1.235961914,0.89263916,1.022338867,-83.96581197,90.86300366,13.19462759,-0.419433594,-1.8671875,0.216308594,-0.946044922,1.22833252,2.822875977,-5.847619048,-29.68791209,-9.296214896,2
1635194438,1.343261719,0.027832031,1.670898438,-9.719848633,-0.526428223,2.716064453,223.7089133,22.04102564,40.33357753,-0.247558594,-0.244140625,1.916992188,-1.167297363,1.014709473,0.411987305,17.39291819,-133.4456654,16.49328449,-0.536132813,1.686035156,1.013671875,-1.235961914,0.89263916,1.022338867,-83.96581197,90.86300366,13.19462759,-0.4296875,-1.857910156,0.228515625,-1.594543457,-0.335693359,2.174377441,-6.297435897,-27.73870574,-9.146275946,2
1635194438,1.343261719,0.027832031,1.670898438,-9.719848633,-0.526428223,2.716064453,223.7089133,22.04102564,40.33357753,-0.247558594,-0.244140625,1.916992188,-1.167297363,1.014709473,0.411987305,17.39291819,-133.4456654,16.49328449,-0.544433594,1.6796875,1.043457031,-0.595092773,0.213623047,1.335144043,-85.46520147,89.21367521,15.14383394,-0.4296875,-1.857910156,0.228515625,-1.594543457,-0.335693359,2.174377441,-6.297435897,-27.73870574,-9.146275946,2
1635194439,1.305175781,-0.014160156,1.62109375,-4.615783691,-0.617980957,2.20489502,224.3086691,23.24053724,38.38437118,-0.247558594,-0.244140625,1.916992188,-1.167297363,1.014709473,0.411987305,17.39291819,-133.4456654,16.49328449,-0.533691406,1.683105469,1.028808594,-0.991821289,1.46484375,0.717163086,-85.31526252,90.11330891,14.54407814,-0.412109375,-1.861816406,0.227050781,-3.051757813,-0.045776367,1.693725586,-6.147496947,-28.63833944,-8.696459096,2
1635194440,1.3203125,-0.019042969,1.403320313,15.0604248,-0.900268555,-2.258300781,222.6593407,22.79072039,38.23443223,-0.248535156,-0.251464844,1.908203125,0.823974609,0.602722168,0.885009766,16.79316239,-133.5956044,16.04346764,-0.53125,1.671875,1.060058594,-2.456665039,2.044677734,0.9765625,-83.36605617,90.56312576,15.44371184,-0.412109375,-1.830078125,0.267578125,-2.342224121,1.251220703,2.60925293,-5.397802198,-28.63833944,-10.34578755,2
1635194440,1.3203125,-0.019042969,1.403320313,15.0604248,-0.900268555,-2.258300781,222.6593407,22.79072039,38.23443223,-0.248535156,-0.251464844,1.908203125,0.823974609,0.602722168,0.885009766,16.79316239,-133.5956044,16.04346764,-0.53125,1.671875,1.060058594,-2.456665039,2.044677734,0.9765625,-83.36605617,90.56312576,15.44371184,-0.412109375,-1.830078125,0.267578125,-2.342224121,1.251220703,2.60925293,-5.397802198,-28.63833944,-10.34578755,2
1635194441,1.334472656,-0.033203125,1.709960938,-21.2020874,1.655578613,4.524230957,224.4586081,22.34090354,40.03369963,-0.240234375,-0.264648438,1.925292969,-0.961303711,1.434326172,-0.144958496,17.84273504,-135.3948718,16.64322344,-0.541992188,1.687988281,1.029296875,-0.022888184,1.266479492,0.465393066,-86.96459096,89.21367521,14.09426129,-0.437988281,-1.867675781,0.180175781,-0.343322754,-0.091552734,2.685546875,-6.147496947,-29.08815629,-11.0954823,2
1635194441,1.334472656,-0.033203125,1.709960938,-21.2020874,1.655578613,4.524230957,224.4586081,22.34090354,40.03369963,-0.240234375,-0.264648438,1.925292969,-0.961303711,1.434326172,-0.144958496,17.84273504,-135.3948718,16.64322344,-0.541992188,1.687988281,1.029296875,-0.022888184,1.266479492,0.465393066,-86.96459096,89.21367521,14.09426129,-0.437988281,-1.867675781,0.180175781,-0.343322754,-0.091552734,2.685546875,-6.147496947,-29.08815629,-11.0954823,2
1635194442,1.340820313,0.104003906,1.844238281,7.827758789,-0.343322754,-0.793457031,224.1587302,22.79072039,39.58388278,-0.260742188,-0.250488281,1.927246094,-0.175476074,-0.106811523,0.694274902,16.19340659,-135.3948718,16.34334554,-0.539550781,1.700683594,1.036132813,-1.075744629,1.121520996,1.022338867,-84.86544567,88.46398046,14.09426129,-0.41796875,-1.8203125,0.324707031,-3.234863281,0.23651123,2.548217773,-5.397802198,-29.38803419,-10.04590965,2
1635194442,1.340820313,0.104003906,1.844238281,7.827758789,-0.343322754,-0.793457031,224.1587302,22.79072039,39.58388278,-0.260742188,-0.250488281,1.927246094,-0.175476074,-0.106811523,0.694274902,16.19340659,-135.3948718,16.34334554,-0.539550781,1.700683594,1.036132813,-1.075744629,1.121520996,1.022338867,-84.86544567,88.46398046,14.09426129,-0.41796875,-1.8203125,0.324707031,-3.234863281,0.23651123,2.548217773,-5.397802198,-29.38803419,-10.04590965,2
1635194443,1.327148438,0.028808594,1.610351563,14.70184326,1.914978027,-3.219604492,221.9096459,22.04102564,38.53431013,-0.239746094,-0.243652344,1.95703125,-0.610351563,1.708984375,-0.343322754,15.59365079,-134.795116,15.89352869,-0.537597656,1.682617188,1.025390625,0.381469727,-0.129699707,0.816345215,-84.86544567,89.21367521,13.34456654,-0.43359375,-1.807128906,0.316894531,-6.820678711,-1.762390137,2.723693848,-3.448595849,-29.83785104,-10.94554335,2
1635194443,1.327148438,0.028808594,1.610351563,14.70184326,1.914978027,-3.219604492,221.9096459,22.04102564,38.53431013,-0.239746094,-0.243652344,1.95703125,-0.610351563,1.708984375,-0.343322754,15.59365079,-134.795116,15.89352869,-0.537597656,1.682617188,1.025390625,0.381469727,-0.129699707,0.816345215,-84.86544567,89.21367521,13.34456654,-0.43359375,-1.807128906,0.316894531,-6.820678711,-1.762390137,2.723693848,-3.448595849,-29.83785104,-10.94554335,2
1635194444,1.309082031,0.073242188,1.704589844,-7.98034668,-1.953125,2.265930176,224.4586081,24.58998779,40.63345543,-0.247558594,-0.249511719,1.944824219,-0.823974609,0.961303711,0.595092773,14.99389499,-133.8954823,16.64322344,-0.538085938,1.668457031,1.05078125,-0.175476074,1.037597656,0.381469727,-85.91501832,90.56312576,15.74358974,-0.430175781,-1.827148438,0.271484375,1.480102539,1.441955566,2.182006836,-5.547741148,-28.78827839,-10.4957265,2
1635194445,1.369628906,0.060546875,1.609863281,-0.137329102,-2.487182617,2.075195313,223.1091575,20.54163614,40.03369963,-0.252441406,-0.278808594,1.914550781,0.030517578,0.25177002,0.770568848,17.54285714,-135.3948718,17.09304029,-0.571777344,1.688476563,1.029296875,-1.533508301,4.14276123,0.587463379,-85.91501832,89.21367521,14.39413919,-0.447265625,-1.860839844,0.242675781,-0.411987305,0.762939453,4.791259766,-6.147496947,-28.33846154,-10.64566545,2
1635194445,1.400390625,0.0546875,1.729492188,-11.45172119,7.080078125,2.937316895,226.2578755,22.04102564,40.03369963,-0.252441406,-0.278808594,1.914550781,0.030517578,0.25177002,0.770568848,17.54285714,-135.3948718,17.09304029,-0.571777344,1.688476563,1.029296875,-1.533508301,4.14276123,0.587463379,-85.91501832,89.21367521,14.39413919,-0.436035156,-1.858398438,0.138183594,-3.921508789,0.274658203,0.694274902,-5.997557998,-29.83785104,-9.146275946,2
1635194446,1.400390625,0.0546875,1.729492188,-11.45172119,7.080078125,2.937316895,226.2578755,22.04102564,40.03369963,-0.286132813,-0.251464844,1.935058594,0.221252441,1.899719238,1.174926758,16.49328449,-133.8954823,16.64322344,-0.521972656,1.69921875,0.998535156,-1.502990723,-0.785827637,1.510620117,-85.01538462,89.06373626,12.14505495,-0.436035156,-1.858398438,0.138183594,-3.921508789,0.274658203,0.694274902,-5.997557998,-29.83785104,-9.146275946,2
